address,flag,minTimeBetweenSentTnx,maxTimeBetweenSentTnx,avgTimeBetweenSentTnx,minTimeBetweenRecTnx,maxTimeBetweenRecTnx,avgTimeBetweenRecTnx,lifetime,sentTransactions,receivedTransactions,createdContracts,numUniqSentAddress,numUniqRecAddress,minValSent,maxValSent,avgValSent,minValReceived,maxValReceived,avgValReceived,totalTransactions,totalEtherSent,totalEtherReceived,totalEtherSentContracts,totalEtherBalance,activityDays,dailyMax,ratioRecSent,ratioSentTotal,ratioRecTotal,giniSent,giniRec,txFreq,stdBalanceEth
0x10813f17759ade75dfe2f4666dbd9aa62293cf11,0,0,1643067031.000000,48792543.65,78,1463373,357252.7143,213,34,7,0,16,5,0,0.327931,0.02363,0.032381,0.352,0.135701,41,0.803419348,0.9499083438878669,0,0.14648899622488298,40,2,0.2,0.8095238095238095,0.16666666666666666,0.8567003349045931,0.40211724237890484,0.19248826291079812,0.11852214737570509
0xd4c4a4b11f80dc75ee534c0da478cfe388b5baad,0,0,1228129,8002.982868,0,1629219475.000000,3606290.337,380,3152,454,0,1051,48,0,6.7,0.037729,0,5.287859,0.109038,3606,118.92074255469839,49.50318573701118,0,-69.41755682,380,79,0.14398985093561686,0.8738563903520932,0.12586637094538397,0.9053165635593368,0.784813089,9.489473684210527,19.047894045874393
0xbc01984188cbaec2fc97ee5c6567c6a3de261660,0,0,697215,22076.35305,0,1647023777.000000,23572340.7,174,541,70,0,73,16,0,14.75,0.380043,0,8.987821,0.973134,611,205.60346923662289,68.11936243024172,0,-137.4841068,174,47,0.12915129151291513,0.8839869281045751,0.11437908496732026,0.9288595634822772,0.7102449993498215,3.5114942528735633,40.118494639237475
0x016606acc6b0cfe537acc221e3bf1bb44b4049ee,0,0,11728,847.954084,0,1653744211.000000,359621.0037,97,4530,4611,0,1817,4339,0,85,0.809814,0.00005,104.649816,0.828239,9141,3668.459194848404,3819.0090457194897,0,150.5498508710857,97,183,1.0176561465460163,0.4955152045504266,0.5043754101947058,0.9213802089188436,0.8411901217798485,94.23711340206185,57.09519298404243
0xb028be0e2870c055a89f7b7ea97eadca35902667,0,2314,1801137,237823.1333,276,1657216454.000000,236889376.3,53,15,7,0,7,3,0,0.175,0.0601,0.04,0.29,0.129286,22,0.9015000000000001,0.9049999999999999,0,0.0035,21,2,0.4375,0.6521739130434783,0.30434782608695654,0.47587275229159354,0.3314914563049509,0.41509433962264153,0.095503745
0x5b17d67d61b6e87edbd12d38043d09e413f289bc,0,0,2599452,151874.8108,158,1643116809.000000,40257523.73,217,74,41,0,39,16,0,3,0.107527,0,3,0.196883,115,7.956999999999999,8.072183979504251,0,0.11518397950425197,114,1,0.5466666666666666,0.6379310344827587,0.35344827586206895,0.8137532385027744,0.6381037647422221,0.5299539170506913,0.30874693383761675
0x4861d01690ac649716ac04fc82cbc201270e8138,0,66,79526,16738.83333,8814,1658150144.000000,829079479,2,6,2,0,5,2,0,0.27,0.114142,0.177536,0.2,0.188768,8,0.6848538876104516,0.377535821,0,-0.307318066,2,7,0.2857142857142857,0.6666666666666666,0.2222222222222222,0.5167953681896938,0.02975104,4,0.16999182118583178
0x03d6660b14642151338198c5de50cef3417e6e46,0,19,134118,9924.617647,51,1656575718.000000,118467369.3,27,34,14,0,11,4,0,0.774408,0.166956,0.062103,1.01599,0.301541,48,5.676510742925142,4.221569891594395,0,-1.454940851,27,8,0.4,0.6938775510204082,0.2857142857142857,0.60386615,0.3935959144662959,1.7777777777777777,0.5304984142915649
0x15986ad98ad6c4472670b9fd0bfb877f2cb99140,0,0,2274933,177544.0714,232186,1655687108.000000,414757953.3,68,14,4,0,4,4,0,0.03,0.002357,0.003011,0.037,0.012353,18,0.033,0.049412066,0,0.016412065718008816,16,3,0.26666666666666666,0.7368421052631579,0.21052631578947367,0.9155455742570229,0.5323545990544776,0.2647058823529412,0.00697709
0xdab1c39a3e01cbddfab70b148d05251abe3af5bc,0,0,1729701,28598.13539,0,1630097405.000000,29184315.02,367,975,56,0,317,16,0,2,0.094973,0,2.066689,0.170905,1031,92.59853256877426,9.570665364,0,-83.0278672,293,27,0.057377049,0.9447674418604651,0.054263566,0.8489722592908729,0.820892067,2.809264305177112,25.473510867690763
0x726770c536bdf2f7b81b30f507d616fc271e91f0,0,0,8439063,100715.3941,87,1596426579.000000,37855076.35,758,340,43,0,34,16,0,6.5,0.289441,0,6.991898,1.216575,383,98.40982473842196,52.31272100744667,0,-46.09710373,374,7,0.12609970674486803,0.8854166666666666,0.11197916666666667,0.9133941398533119,0.6379470581933514,0.5052770448548812,11.14903960695065
0x6658551225a88975d71e44b64e9586668bfe1140,0,0,1993154,84975.45833,203,1650057349.000000,103511534,118,48,16,0,14,8,0,0.326,0.06524,0.0095,1,0.188489,64,3.1315139372555607,3.01582362,0,-0.115690317,49,9,0.32653061224489793,0.7384615384615385,0.24615384615384617,0.5135416645388556,0.6110224036789507,0.5423728813559322,0.2401351775778425
0xdd7f18440c73bf2b39c3fcaaf873a99286d295ac,0,0,182360,5069.094417,112,1642968909.000000,7075195.047,221,2669,233,0,28,12,0,3,0.055275,0.009381,6.195,0.488108,2902,147.52919354701353,113.72919432925838,0,-33.79999922,221,67,0.087265918,0.9193937306234929,0.080261798,0.8674522529814761,0.579654664,13.131221719457013,10.078178214632871
0xd1f0c95b1e151080a9b2ddf12afcd7b9414c1558,0,216,2420514,223295.2667,73818,1653546617.000000,236477782.7,60,15,7,0,9,2,0,0.295,0.064758,0.02,0.3,0.142857,22,0.9713678780778014,1,0,0.028632122,22,1,0.4375,0.6521739130434783,0.30434782608695654,0.6836192993309917,0.39142829742876317,0.36666666666666664,0.12060807148699051
0x17b772daed819352a0c6a8a082bfeb190449aa7e,0,28,536395,35252.625,626,1653266583.000000,63840017.08,99,56,26,0,25,3,0,0.6,0.071282,0.02,0.5,0.109423,82,3.991785583444389,2.845,0,-1.146785583,59,7,0.45614035087719296,0.6746987951807228,0.3132530120481928,0.7456660455374483,0.46038892629050404,0.8282828282828283,0.45726617727072566
0x6d8a5889f440775cb368cb79b493b93340f1df65,0,6,5671562,202748.2759,1176,1652056648.000000,150444795.2,101,29,11,0,14,11,0,0.399942,0.092851,0.008825,0.5,0.22853,40,2.692675761424532,2.513824706057157,0,-0.178851055,35,6,0.36666666666666664,0.7073170731707317,0.2682926829268293,0.5007648418555696,0.3403632429593051,0.39603960396039606,0.13900563354698942
0xfe598c8dbea6d78dd06ae537b8171695d075106e,0,0,495766,42215.65164,399,1651014144.000000,235954934.3,127,244,7,0,100,2,0,1.3,0.052842,0.01066,0.2,0.084193,251,12.893533700283808,0.5893501664838333,0,-12.30418353,122,22,0.028571429,0.9682539682539683,0.027777777777777776,0.8457707198864959,0.4708405279748278,1.9763779527559056,4.402634114863226
0xe4bb4ea9eedf6cdec5947999ccc33d3769cd0b9b,0,0,4669281,195667.6889,99,1644260849.000000,150283627.4,205,45,11,0,20,4,0,1.16,0.078025,0.02,1.3868,0.306314,56,3.511131178787517,3.369452611,0,-0.141678567,56,1,0.2391304347826087,0.7894736842105263,0.19298245614035087,0.8215972980382659,0.4937478589450439,0.2731707317073171,0.23200196159154673
0xd7e44a7adeac691adffcd2e56c587a30109f67b0,0,0,1077051,40833.93388,15,1642157748.000000,57141678.9,231,121,29,0,31,12,0,0.41,0.037375,0.000037,0.413232,0.109671,150,4.522329022189055,3.180445267783414,0,-1.341883754,147,4,0.23770491803278687,0.8013245033112583,0.19205298013245034,0.699221652,0.5340088087872307,0.6493506493506493,0.5511619106187575
